pattern,pattern_dir,sector,count,wins,avg_ret,win_rate,combination,description,market
Morning Star,bullish,Consumer Discretionary,1,1,0.11954261954261959,1.0,A+B+C,形態+指標+成交量,S&P 500
Evening Star,bearish,Financials,1,1,-0.062102444998370934,1.0,A+B+C,形態+指標+成交量,S&P 500
Evening Star,bearish,Consumer Discretionary,3,3,-0.041964423215226,1.0,A+B+C,形態+指標+成交量,S&P 500
Evening Star,bearish,Consumer Staples,1,1,-0.038804071246819415,1.0,A,形態 alone,HSI
Evening Star,bearish,Real Estate,1,1,-0.04315068493150678,1.0,A,形態 alone,HSI
Bullish Engulfing,bullish,Consumer Staples,1,1,0.022193432762084596,1.0,A+B+C,形態+指標+成交量,S&P 500
Bullish Engulfing,bullish,Communication Services,3,3,0.08252495018250987,1.0,A+B+C,形態+指標+成交量,S&P 500
Morning Star,bullish,Real Estate,3,3,0.08512518744884413,1.0,A+D,形態+Sector,HSI
Morning Star,bullish,Financials,1,1,0.0900473933649289,1.0,A,形態 alone,HSI
Morning Star,bullish,Health Care,1,1,0.07389937106918235,1.0,A,形態 alone,HSI
Morning Star,bullish,Real Estate,3,3,0.08512518744884413,1.0,A,形態 alone,HSI
Bear Flag,bearish,Information Technology,2,2,-0.07751433170568242,1.0,A+C,形態+成交量,HSI
Bearish Engulfing,bearish,Consumer Staples,1,1,-0.02106173108079497,1.0,A+C,形態+成交量,HSI
Bull Flag,bullish,Consumer Staples,2,2,0.09423300501056829,1.0,A+C,形態+成交量,HSI
Morning Star,bullish,Energy,1,1,0.036077299535700845,1.0,A+B,形態+指標,S&P 500
Hammer,bullish,Consumer Discretionary,2,2,0.08912324234904882,1.0,A+C,形態+成交量,HSI
Hammer,bullish,Health Care,1,1,0.0254668930390493,1.0,A+C,形態+成交量,HSI
Morning Star,bullish,Real Estate,1,1,0.15955056179775287,1.0,A+C,形態+成交量,HSI
Hammer,bullish,Health Care,1,1,0.0254668930390493,1.0,A+B+C,形態+指標+成交量,HSI
Bullish Engulfing,bullish,Real Estate,1,1,0.041953232462173404,1.0,A+B+C,形態+指標+成交量,HSI
Bullish Engulfing,bullish,Financials,1,1,0.10406504065040645,1.0,A+B,形態+指標,HSI
Bull Flag,bullish,Health Care,1,1,0.05222734254992317,1.0,A+B+C,形態+指標+成交量,HSI
Bull Flag,bullish,Consumer Staples,1,1,0.0574012356249916,1.0,A+B+C,形態+指標+成交量,HSI
Morning Star,bullish,Information Technology,5,5,0.08407163508991877,1.0,A+C,形態+成交量,S&P 500
Bear Flag,bearish,Information Technology,1,1,-0.06582411795681939,1.0,A+B+C,形態+指標+成交量,HSI
Evening Star,bearish,Consumer Discretionary,5,5,-0.03708900361601387,1.0,A+C,形態+成交量,S&P 500
Evening Star,bearish,Energy,1,1,-0.10120621686631781,1.0,A+C,形態+成交量,S&P 500
Morning Star,bullish,Real Estate,1,1,0.053391053391053406,1.0,A+B,形態+指標,HSI
Morning Star,bullish,Health Care,1,1,0.07389937106918235,1.0,A+B,形態+指標,HSI
Evening Star,bearish,Energy,1,1,-0.10120621686631781,1.0,A+B+C,形態+指標+成交量,S&P 500
Evening Star,bearish,Real Estate,1,1,-0.04315068493150678,1.0,A+D,形態+Sector,HSI
Hammer,bullish,Energy,2,2,0.09914841200912064,1.0,A+C,形態+成交量,S&P 500
Morning Star,bullish,Energy,1,1,0.036077299535700845,1.0,A+B+D,形態+指標+Sector,S&P 500
Evening Star,bearish,Energy,1,1,-0.10120621686631781,1.0,A+B+C+D,完整全因子,S&P 500
Morning Star,bullish,Information Technology,5,5,0.08407163508991877,1.0,A+C+D,形態+成交量+Sector,S&P 500
Bullish Engulfing,bullish,Real Estate,1,1,0.041953232462173404,1.0,A+B+C+D,完整全因子,HSI
Hammer,bullish,Energy,2,2,0.09914841200912064,1.0,A+C+D,形態+成交量+Sector,S&P 500
Evening Star,bearish,Energy,1,1,-0.10120621686631781,1.0,A+C+D,形態+成交量+Sector,S&P 500
Morning Star,bullish,Real Estate,1,1,0.15955056179775287,1.0,A+C+D,形態+成交量+Sector,HSI
Morning Star,bullish,Real Estate,1,1,0.053391053391053406,1.0,A+B+D,形態+指標+Sector,HSI
Bullish Engulfing,bullish,Consumer Staples,5,4,0.03498128547922589,0.8,A+C,形態+成交量,S&P 500
Bearish Engulfing,bearish,Consumer Staples,4,3,-0.03414983390037817,0.75,A+B+C,形態+指標+成交量,S&P 500
Bullish Engulfing,bullish,Financials,7,5,0.05007131330199016,0.7142857142857143,A,形態 alone,HSI
Bullish Engulfing,bullish,Real Estate,12,8,0.027262825519432664,0.6666666666666666,A+D,形態+Sector,HSI
Bull Flag,bullish,Consumer Discretionary,3,2,0.09429874077120481,0.6666666666666666,A+B+C,形態+指標+成交量,HSI
Hammer,bullish,Health Care,3,2,0.03509417857272152,0.6666666666666666,A+B,形態+指標,HSI
Hammer,bullish,Real Estate,3,2,0.031460462438121166,0.6666666666666666,A+C,形態+成交量,S&P 500
Morning Star,bullish,Consumer Discretionary,3,2,0.05031610774528216,0.6666666666666666,A+C,形態+成交量,S&P 500
Bullish Engulfing,bullish,Real Estate,12,8,0.027262825519432664,0.6666666666666666,A,形態 alone,HSI
Morning Star,bullish,Consumer Discretionary,11,7,0.02793158017004619,0.6363636363636364,A+B,形態+指標,S&P 500
Bullish Engulfing,bullish,Information Technology,11,7,0.02278422238047375,0.6363636363636364,A,形態 alone,HSI
Bullish Engulfing,bullish,Consumer Staples,27,17,0.029704654627240104,0.6296296296296297,A+B,形態+指標,S&P 500
Bullish Engulfing,bullish,Consumer Discretionary,7,4,0.05350974566425752,0.5714285714285714,A+B,形態+指標,HSI
Hammer,bullish,Energy,7,4,-0.0005842468071040823,0.5714285714285714,A+B,形態+指標,S&P 500
Hammer,bullish,Energy,7,4,-0.0005842468071040823,0.5714285714285714,A+B+D,形態+指標+Sector,S&P 500
Bull Flag,bullish,Energy,43,24,0.022756999511740646,0.5581395348837209,A+C+D,形態+成交量+Sector,S&P 500
Bull Flag,bullish,Energy,43,24,0.022756999511740646,0.5581395348837209,A+C,形態+成交量,S&P 500
Bull Flag,bullish,Energy,23,12,0.02357325472620031,0.5217391304347826,A+B+C,形態+指標+成交量,S&P 500
Bull Flag,bullish,Energy,23,12,0.02357325472620031,0.5217391304347826,A+B+C+D,完整全因子,S&P 500
Bull Flag,bullish,Real Estate,2,1,0.026725249308004413,0.5,A+B+C+D,完整全因子,HSI
Bear Flag,bearish,Consumer Staples,20,10,-0.01403453500954907,0.5,A+B,形態+指標,HSI
