pattern,pattern_dir,count,wins,avg_ret,win_rate,combination,description,market
Morning Star,bullish,110,38,0.020429573508701407,0.34545454545454546,A,形態 alone（基準）,HSI
Bull Flag,bullish,3821,1284,0.0073363259124112215,0.3360376864695106,A,形態 alone（基準）,HSI
Bearish Engulfing,bearish,569,187,0.003338543526246463,0.3286467486818981,A,形態 alone（基準）,HSI
Bullish Engulfing,bullish,380,124,0.00267450192233932,0.3263157894736842,A,形態 alone（基準）,HSI
Hammer,bullish,419,117,0.0011714920783377223,0.27923627684964203,A,形態 alone（基準）,HSI
Bear Flag,bearish,4182,1067,0.007076559639426764,0.2551410808225729,A,形態 alone（基準）,HSI
Evening Star,bearish,114,28,0.0019902383246439568,0.24561403508771928,A,形態 alone（基準）,HSI
Morning Star,bullish,12,5,0.00011788263693048955,0.4166666666666667,A+C,形態 + 成交量,HSI
Hammer,bullish,26,10,0.008614072386582643,0.38461538461538464,A+C,形態 + 成交量,HSI
Evening Star,bearish,6,2,0.005912778854805965,0.3333333333333333,A+C,形態 + 成交量,HSI
Bullish Engulfing,bullish,43,14,0.0007758401117487797,0.32558139534883723,A+C,形態 + 成交量,HSI
Bull Flag,bullish,249,79,0.01107062315831935,0.3172690763052209,A+C,形態 + 成交量,HSI
Bearish Engulfing,bearish,45,14,-0.0011150166013583621,0.3111111111111111,A+C,形態 + 成交量,HSI
Bear Flag,bearish,308,85,0.013641242092355801,0.275974025974026,A+C,形態 + 成交量,HSI
Bearish Engulfing,bearish,261,93,0.000909185524827607,0.3563218390804598,A+B,形態 + 指標,HSI
Bull Flag,bullish,1134,391,0.008276580402650778,0.3447971781305115,A+B,形態 + 指標,HSI
Bullish Engulfing,bullish,135,40,-0.003491099480740319,0.2962962962962963,A+B,形態 + 指標,HSI
Morning Star,bullish,55,14,0.003555602693557012,0.2545454545454545,A+B,形態 + 指標,HSI
Bear Flag,bearish,1417,356,0.007774920211087651,0.2512350035285815,A+B,形態 + 指標,HSI
Hammer,bullish,101,25,-0.006454483000207905,0.24752475247524752,A+B,形態 + 指標,HSI
Evening Star,bearish,53,11,0.004577683531516067,0.20754716981132076,A+B,形態 + 指標,HSI
Hammer,bullish,8,3,-0.0017883194384572141,0.375,A+B+C,形態 + 指標 + 成交量,HSI
Bull Flag,bullish,109,40,0.02018926148550618,0.3669724770642202,A+B+C,形態 + 指標 + 成交量,HSI
