ticker,cnt_Ascending_Trian_bul,wr_Ascending_Trian_bul,cnt_Bear_Flag_bea,wr_Bear_Flag_bea,cnt_Bearish_Engulfi_bea,wr_Bearish_Engulfi_bea,cnt_Bearish_Harami_bea,wr_Bearish_Harami_bea,cnt_Bull_Flag_bul,wr_Bull_Flag_bul,cnt_Bullish_Engulfi_bul,wr_Bullish_Engulfi_bul,cnt_Bullish_Harami_bul,wr_Bullish_Harami_bul,cnt_Descending_Tria_bea,wr_Descending_Tria_bea,cnt_Doji_neu,wr_Doji_neu,cnt_Evening_Star_bea,wr_Evening_Star_bea,cnt_Hammer_bul,wr_Hammer_bul,cnt_Morning_Star_bul,wr_Morning_Star_bul,cnt_Resistance_bea,wr_Resistance_bea,cnt_Shooting_Star_bea,wr_Shooting_Star_bea,cnt_Support_bul,wr_Support_bul,cnt_Symmetrical_Tri_neu,wr_Symmetrical_Tri_neu
0001.HK,0,0.0,0,0.0,12,33.3,18,22.2,2,0.0,0,0.0,6,16.7,0,0.0,23,8.7,3,66.7,2,0.0,0,0.0,1,0.0,5,0.0,2,100.0,0,0.0
0002.HK,0,0.0,0,0.0,2,0.0,18,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,0.0,0,0.0,1,0.0,0,0.0,2,50.0,4,0.0,2,50.0,0,0.0
0003.HK,2,0.0,0,0.0,4,0.0,8,0.0,0,0.0,0,0.0,6,0.0,0,0.0,6,16.7,3,0.0,1,0.0,3,0.0,1,0.0,6,16.7,2,0.0,0,0.0
0005.HK,0,0.0,0,0.0,0,0.0,10,0.0,0,0.0,0,0.0,0,0.0,0,0.0,5,0.0,0,0.0,2,0.0,3,66.7,2,50.0,5,20.0,1,100.0,0,0.0
0006.HK,0,0.0,0,0.0,4,25.0,12,0.0,0,0.0,0,0.0,2,50.0,0,0.0,11,18.2,3,33.3,3,100.0,3,0.0,1,0.0,1,0.0,2,50.0,0,0.0
0011.HK,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
0012.HK,0,0.0,0,0.0,8,37.5,30,10.0,2,0.0,4,0.0,6,16.7,0,0.0,14,7.1,3,100.0,2,50.0,3,66.7,1,0.0,8,12.5,2,100.0,0,0.0
0016.HK,0,0.0,0,0.0,4,0.0,22,0.0,0,0.0,0,0.0,2,0.0,0,0.0,7,0.0,0,0.0,0,0.0,0,0.0,2,50.0,11,18.2,1,100.0,0,0.0
0017.HK,0,0.0,0,0.0,10,20.0,8,0.0,0,0.0,2,50.0,18,38.9,0,0.0,31,25.8,3,33.3,5,20.0,6,33.3,2,100.0,3,33.3,1,100.0,0,0.0
0027.HK,0,0.0,0,0.0,10,20.0,28,17.9,0,0.0,4,0.0,14,50.0,0,0.0,16,31.2,9,22.2,3,33.3,3,100.0,2,50.0,11,27.3,2,50.0,0,0.0
0040.HK,0,0.0,0,0.0,4,25.0,8,0.0,0,0.0,0,0.0,0,0.0,0,0.0,6,16.7,3,66.7,0,0.0,0,0.0,2,0.0,10,10.0,2,50.0,0,0.0
0066.HK,0,0.0,0,0.0,6,33.3,6,33.3,0,0.0,2,0.0,8,37.5,0,0.0,18,11.1,3,100.0,0,0.0,6,66.7,2,50.0,1,0.0,2,50.0,0,0.0
0083.HK,0,0.0,0,0.0,6,83.3,12,0.0,2,50.0,0,0.0,2,0.0,0,0.0,9,0.0,0,0.0,0,0.0,0,0.0,2,50.0,9,0.0,1,100.0,0,0.0
0101.HK,0,0.0,0,0.0,0,0.0,18,27.8,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,2,50.0,4,75.0,2,100.0,0,0.0
0175.HK,0,0.0,2,50.0,13,69.2,22,45.5,0,0.0,4,75.0,12,41.7,0,0.0,26,26.9,6,50.0,4,25.0,9,33.3,2,50.0,8,25.0,2,50.0,0,0.0
0269.HK,0,0.0,2,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.0,11,27.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0,0,0.0
0288.HK,0,0.0,2,50.0,2,0.0,8,75.0,0,0.0,4,50.0,6,0.0,0,0.0,12,8.3,0,0.0,2,0.0,2,100.0,2,100.0,2,100.0,2,0.0,0,0.0
0318.HK,0,0.0,0,0.0,0,0.0,0,0.0,2,0.0,0,0.0,0,0.0,0,0.0,2,50.0,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,1,0.0,0,0.0
0322.HK,0,0.0,0,0.0,12,66.7,14,0.0,0,0.0,8,37.5,8,12.5,0,0.0,23,26.1,9,44.4,2,50.0,12,25.0,2,0.0,5,0.0,2,50.0,2,0.0
0386.HK,0,0.0,0,0.0,2,50.0,10,30.0,0,0.0,2,50.0,4,50.0,0,0.0,21,28.6,3,66.7,1,0.0,3,66.7,2,50.0,3,33.3,1,0.0,0,0.0
0388.HK,2,0.0,0,0.0,8,25.0,40,20.0,0,0.0,0,0.0,4,0.0,0,0.0,10,10.0,0,0.0,0,0.0,0,0.0,1,0.0,21,33.3,2,50.0,0,0.0
0467.HK,0,0.0,2,100.0,4,50.0,6,33.3,0,0.0,2,50.0,0,0.0,0,0.0,38,52.6,0,0.0,0,0.0,0,0.0,2,50.0,5,80.0,2,50.0,0,0.0
0570.HK,0,0.0,0,0.0,2,100.0,12,16.7,0,0.0,2,0.0,4,0.0,0,0.0,28,25.0,3,66.7,3,0.0,3,33.3,1,100.0,5,20.0,2,50.0,0,0.0
0669.HK,0,0.0,0,0.0,2,0.0,18,11.1,2,50.0,4,75.0,4,0.0,0,0.0,24,33.3,6,50.0,2,0.0,12,83.3,2,50.0,13,23.1,2,50.0,0,0.0
0688.HK,0,0.0,0,0.0,8,25.0,30,10.0,2,100.0,4,50.0,12,66.7,0,0.0,22,40.9,0,0.0,1,0.0,6,33.3,2,50.0,16,43.8,1,100.0,0,0.0
0738.HK,0,0.0,0,0.0,4,50.0,0,0.0,0,0.0,4,25.0,0,0.0,0,0.0,2,0.0,0,0.0,0,0.0,0,0.0,1,100.0,1,0.0,2,50.0,0,0.0
0769.HK,0,0.0,2,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,50.0,0,0.0,21,38.1,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0
0823.HK,0,0.0,0,0.0,2,0.0,14,14.3,2,0.0,0,0.0,0,0.0,0,0.0,13,7.7,0,0.0,1,0.0,6,0.0,2,0.0,4,25.0,2,100.0,0,0.0
0857.HK,0,0.0,0,0.0,10,50.0,12,8.3,0,0.0,4,50.0,2,0.0,0,0.0,20,20.0,9,77.8,3,0.0,0,0.0,2,50.0,4,75.0,1,100.0,0,0.0
0868.HK,0,0.0,0,0.0,6,66.7,30,33.3,2,0.0,4,100.0,14,28.6,0,0.0,18,38.9,6,16.7,3,33.3,3,100.0,2,100.0,19,36.8,2,0.0,0,0.0
0883.HK,0,0.0,0,0.0,6,50.0,16,25.0,0,0.0,4,75.0,6,0.0,0,0.0,13,23.1,0,0.0,1,100.0,6,0.0,2,50.0,3,66.7,2,50.0,0,0.0
