indicator,signal,direction,count,successes,failures,win_rate,avg_return,market
RSI,RSI 超賣區域 (30),bullish,2249,896,1353,0.39839928857269896,0.0073117612580515644,S&P 500
RSI,RSI 維持超賣,bullish,5225,2004,3221,0.38354066985645935,0.00826385900437172,S&P 500
BB,BB 跌破下軌 (超賣),bullish,8326,3171,5155,0.38085515253423013,0.007491580897303612,S&P 500
KDJ,KDJ 超買區金叉 (謹慎),neutral,548,191,357,0.34854014598540145,0.005195805650906653,S&P 500
KDJ,KDJ 金叉,bullish,8694,2853,5841,0.3281573498964803,0.0035907260348981944,S&P 500
EMA,價格突破 EMA20,bullish,5279,1705,3574,0.3229778367114984,0.0049285019042608,S&P 500
MACD,MACD 金叉 (空頭區),bullish,3740,1200,2540,0.32085561497326204,0.005183258536678256,S&P 500
EMA,EMA 多頭排列 (20>50>200),bullish,37956,11925,26031,0.31417957635156496,0.004434296348026677,S&P 500
MACD,MACD 突破 0 軸,bullish,2983,919,2064,0.3080791149849145,0.002894089155757538,S&P 500
RSI,RSI 上穿 50 中性線,bullish,9838,3024,6814,0.3073795486887579,0.0030239358517786747,S&P 500
MACD,MACD 金叉 (多頭區),bullish,2853,865,1988,0.30318962495618645,0.0019047497505776236,S&P 500
KDJ,KDJ J 值極低 (<0),bullish,37584,11242,26342,0.2991166453810132,0.0023029214990231877,S&P 500
KDJ,KDJ 超賣區死叉 (謹慎),neutral,3724,1093,2631,0.2935016111707841,0.0013659901503586377,S&P 500
BB,BB 接近下軌,neutral,68721,20106,48615,0.2925743222595713,0.001562992796659982,S&P 500
EMA,EMA 空頭排列 (20<50<200),bearish,23716,6901,16815,0.2909849890369371,-0.0007643697830449781,S&P 500
BB,BB 接近上軌,neutral,86184,25038,61146,0.2905179615705932,0.0021803542952377603,S&P 500
EMA,EMA 死亡交叉 (20 下穿 50),bearish,803,232,571,0.2889165628891656,-0.00023341151693034618,S&P 500
EMA,EMA 黃金交叉 (20 上穿 50),bullish,734,210,524,0.28610354223433243,0.003983411184033285,S&P 500
KDJ,KDJ J 值極高 (>100),bearish,6950,1980,4970,0.28489208633093527,-0.0037636709688805637,S&P 500
KDJ,KDJ 超賣區金叉,bullish,5336,1507,3829,0.28242128935532235,0.0009255956064639458,S&P 500
EMA,價格跌破 EMA20,bearish,5359,1502,3857,0.2802761709274118,-0.0031171367635125995,S&P 500
