pattern,direction,count,wins,losses,win_rate,avg_return
Morning Star,bullish,21,17,4,80.95238095238095,2.9384284173385575
Support,bullish,8,6,2,75.0,3.74999621701399
Bullish Harami,bullish,24,18,6,75.0,2.711254408842671
Resistance,bearish,10,7,3,70.0,1.8697764092139044
Ascending Triangle,bullish,2,1,1,50.0,0.6693920743420487
Hammer,bullish,4,2,2,50.0,1.0578002954728927
Bullish Engulfing,bullish,6,3,3,50.0,0.8610191100651162
Evening Star,bearish,15,6,9,40.0,0.8753454756978206
Shooting Star,bearish,56,21,35,37.5,-0.09697898463758381
Bearish Engulfing,bearish,24,8,16,33.33333333333333,0.11399586596659589
Bearish Harami,bearish,108,35,73,32.407407407407405,-0.6059516507528508
