pattern,direction,count,successes,failures,win_rate,avg_return,confidence
Morning Star,bullish,365,193,172,52.87671232876713,2.693953850181558,0.8
Resistance,bearish,144,76,68,52.77777777777778,2.8164544266073843,0.9
Bullish Engulfing,bullish,230,119,111,51.73913043478261,2.2027599462231775,0.75
Support,bullish,155,78,77,50.32258064516129,2.48189155525769,0.9
Bear Flag,bearish,34,16,18,47.05882352941176,1.8860258305286899,0.6
Bearish Engulfing,bearish,571,265,306,46.409807355516634,1.5813764421899652,0.75
Evening Star,bearish,297,134,163,45.11784511784512,1.4000222976270695,0.8
Bullish Harami,bullish,535,215,320,40.18691588785047,0.6168971864004448,0.65
Hammer,bullish,148,48,100,32.432432432432435,-0.0885424382061588,1.0
Shooting Star,bearish,661,214,447,32.37518910741301,-0.8505256612709129,0.9225
Bull Flag,bullish,34,11,23,32.35294117647059,1.1378501917345103,0.6
Doji,neutral,1580,481,1099,30.443037974683545,-0.6343856223529825,0.85
Descending Triangle,bearish,8,2,6,25.0,-0.8082333784791087,0.65
Bearish Harami,bearish,1377,317,1060,23.02106027596224,-0.9178585167734908,0.65
Ascending Triangle,bullish,8,1,7,12.5,0.5962439309405054,0.65
Symmetrical Triangle,neutral,14,1,13,7.142857142857142,-7.420701918229409,0.65
