pattern,direction,count,successes,failures,win_rate,avg_return,confidence
Bull Flag,bullish,134,96,38,71.64179104477611,7.080920296098818,0.6
Bear Flag,bearish,156,98,58,62.82051282051282,4.6582297745583405,0.6
Resistance,bearish,843,425,418,50.41518386714117,2.0229131803708023,0.9
Morning Star,bullish,3281,1598,1683,48.704663212435236,1.9570227999594385,0.8
Support,bullish,861,413,448,47.96747967479675,2.122304040316424,0.9
Evening Star,bearish,2917,1270,1647,43.53788138498457,1.1911051883143036,0.8
Bullish Engulfing,bullish,2727,1150,1577,42.17088375504217,1.0365738732576446,0.75
Bullish Harami,bullish,6125,2291,3834,37.40408163265306,0.9161707916929775,0.65
Bearish Engulfing,bearish,6750,2286,4464,33.86666666666667,0.5224813534886746,0.75
Hammer,bullish,638,208,430,32.60188087774294,-0.13930412145507426,1.0
Symmetrical Triangle,neutral,52,16,36,30.76923076923077,0.7269010841090223,0.65
Doji,neutral,12339,3508,8831,28.430180727773724,-0.12407496012596649,0.44578947368421057
Shooting Star,bearish,5954,1589,4365,26.687940880080617,-0.27848287177413017,0.9470370370370372
Ascending Triangle,bullish,16,4,12,25.0,-0.40020150210855565,0.65
Bearish Harami,bearish,12913,2924,9989,22.643847285681098,-0.4139910649192456,0.65
Descending Triangle,bearish,40,9,31,22.5,0.8301604320997864,0.65
