sector,signal,matched_pattern,has_pattern,volume_confirmed,count,win_rate,avg_return,improvement
Health Care,BB 跌破下軌 (超賣),None,False,False,1525,0.2662295081967213,-0.001291136410615662,0.0
Health Care,BB 跌破下軌 (超賣),None,False,True,598,0.31438127090301005,-0.004026628676531613,0.04815176270628874
Health Care,RSI 超賣區域 (30),None,False,False,475,0.28421052631578947,-0.0011181340520021745,0.0
Health Care,KDJ 超賣區金叉,None,False,True,36,0.4166666666666667,0.004620973095287453,0.12834549878345503
Health Care,RSI 超賣區域 (30),Bullish Engulfing,True,True,7,0.5714285714285714,0.027054310517936275,0.28721804511278193
Health Care,MACD 金叉 (空頭區),None,False,False,921,0.2757871878393051,-0.001315283888883868,0.0
Health Care,MACD 突破 0 軸,None,False,False,683,0.2957540263543192,0.0009599923898356391,0.0
Health Care,MACD 跌破 0 軸,None,False,False,648,0.2762345679012346,0.000699054447728079,0.0
Health Care,MACD 死叉 (空頭區),None,False,True,112,0.36607142857142855,0.0011204579873157056,0.10013736263736261
Health Care,RSI 超賣區域 (30),None,False,True,180,0.3111111111111111,-0.005277951159068935,0.026900584795321647
Health Care,RSI 維持超賣,Bullish Harami,True,False,119,0.3949579831932773,0.005559814710090613,0.09047332544347397
Health Care,BB 跌破下軌 (超賣),Bullish Harami,True,False,179,0.30726256983240224,0.007809732792853959,0.041033061635680934
Health Care,RSI 維持超賣,Hammer,True,False,34,0.35294117647058826,0.011189683807629068,0.048456518720784936
Health Care,RSI 維持超賣,None,False,False,1271,0.3044846577498033,0.0006645621185017846,0.0
Health Care,RSI 維持超賣,None,False,True,205,0.35121951219512193,-0.0007303810550102942,0.04673485444531861
Health Care,RSI 維持超賣,Morning Star,True,False,94,0.5531914893617021,0.02124836675540163,0.24870683161189883
Health Care,MACD 金叉 (空頭區),Morning Star,True,False,35,0.17142857142857143,-0.001159481730527957,-0.10435861641073368
Health Care,BB 突破上軌 (超買),None,False,False,1730,0.23583815028901733,-0.002422634028897561,0.0
Health Care,KDJ 超買區死叉,None,False,False,270,0.18518518518518517,-0.0038125918813065322,0.0
