sector,subsector,indicator,signal,direction,has_pattern,count,successes,avg_return,win_rate,strategy,improvement
Commerce & Industry,Commerce & Industry,BB,BB 突破上軌 (超買),bearish,False,502,120,-0.008918858570375358,0.23904382470119523,⚪ 純指標,0.0
Commerce & Industry,Commerce & Industry,BB,BB 突破上軌 (超買),bearish,True,123,49,0.008753322962074902,0.3983739837398374,✅ 複合,0.15933015903864217
Commerce & Industry,Commerce & Industry,BB,BB 跌破下軌 (超賣),bullish,False,248,94,0.006638056500126833,0.3790322580645161,⚪ 純指標,0.0
Commerce & Industry,Commerce & Industry,BB,BB 跌破下軌 (超賣),bullish,True,44,26,0.035661965270068256,0.5909090909090909,✅ 複合,0.21187683284457481
Commerce & Industry,Commerce & Industry,EMA,EMA 死亡交叉 (20 下穿 50),bearish,False,32,10,-0.0008406736382064234,0.3125,⚪ 純指標,0.0
Commerce & Industry,Commerce & Industry,EMA,EMA 黃金交叉 (20 上穿 50),bullish,False,28,11,0.004773679219037631,0.39285714285714285,⚪ 純指標,0.0
Commerce & Industry,Commerce & Industry,EMA,價格突破 EMA20,bullish,False,258,88,0.003756101599143278,0.34108527131782945,⚪ 純指標,0.0
Commerce & Industry,Commerce & Industry,EMA,價格突破 EMA20,bullish,True,27,13,0.02068013420850461,0.48148148148148145,✅ 複合,0.140396210163652
Commerce & Industry,Commerce & Industry,EMA,價格跌破 EMA20,bearish,False,235,62,-0.00464666862369889,0.26382978723404255,⚪ 純指標,0.0
Commerce & Industry,Commerce & Industry,EMA,價格跌破 EMA20,bearish,True,49,13,-0.0001656755059233413,0.2653061224489796,✅ 複合,0.0014763352149370634
Commerce & Industry,Commerce & Industry,KDJ,KDJ 超買區死叉,bearish,False,51,11,-0.012143857752865422,0.21568627450980393,⚪ 純指標,0.0
Commerce & Industry,Commerce & Industry,KDJ,KDJ 超買區死叉,bearish,True,14,3,-0.0296340970826073,0.21428571428571427,✅ 複合,-0.0014005602240896586
Commerce & Industry,Commerce & Industry,KDJ,KDJ 超賣區金叉,bullish,False,208,70,0.004577418011027262,0.33653846153846156,⚪ 純指標,0.0
Commerce & Industry,Commerce & Industry,KDJ,KDJ 超賣區金叉,bullish,True,21,9,-0.00013360894804582274,0.42857142857142855,✅ 複合,0.09203296703296698
Commerce & Industry,Commerce & Industry,MACD,MACD 死叉 (空頭區),bearish,False,67,19,-0.01185211300872107,0.2835820895522388,⚪ 純指標,0.0
Commerce & Industry,Commerce & Industry,MACD,MACD 突破 0 軸,bullish,False,115,39,0.003931252511921186,0.3391304347826087,⚪ 純指標,0.0
Commerce & Industry,Commerce & Industry,MACD,MACD 跌破 0 軸,bearish,False,113,33,-0.0014312657038172169,0.2920353982300885,⚪ 純指標,0.0
Commerce & Industry,Commerce & Industry,MACD,MACD 金叉 (空頭區),bullish,False,133,54,0.01157923196968482,0.40601503759398494,⚪ 純指標,0.0
Commerce & Industry,Commerce & Industry,MACD,MACD 金叉 (空頭區),bullish,True,10,5,0.013452662802603826,0.5,✅ 複合,0.09398496240601506
Commerce & Industry,Commerce & Industry,RSI,RSI 維持超買,bearish,False,381,94,-0.0070501382728404526,0.24671916010498687,⚪ 純指標,0.0
Commerce & Industry,Commerce & Industry,RSI,RSI 維持超買,bearish,True,100,47,0.004752791841749843,0.47,✅ 複合,0.2232808398950131
Commerce & Industry,Commerce & Industry,RSI,RSI 維持超賣,bullish,False,103,34,0.008117591879289359,0.3300970873786408,⚪ 純指標,0.0
Commerce & Industry,Commerce & Industry,RSI,RSI 維持超賣,bullish,True,12,5,0.024908045778306895,0.4166666666666667,✅ 複合,0.08656957928802589
Commerce & Industry,Commerce & Industry,RSI,RSI 超買區域 (70),bearish,False,152,44,-0.0061308075515812055,0.2894736842105263,⚪ 純指標,0.0
Commerce & Industry,Commerce & Industry,RSI,RSI 超買區域 (70),bearish,True,39,24,0.02695105523561111,0.6153846153846154,✅ 複合,0.3259109311740891
Commerce & Industry,Commerce & Industry,RSI,RSI 超賣區域 (30),bullish,False,55,28,0.017345150335660232,0.509090909090909,⚪ 純指標,0.0
Commerce & Industry,Commerce & Industry,RSI,RSI 超賣區域 (30),bullish,True,13,9,0.049158803539741266,0.6923076923076923,✅ 複合,0.18321678321678325
Communication Services,Advertising,BB,BB 突破上軌 (超買),bearish,False,18,8,-0.0031485231474815073,0.4444444444444444,⚪ 純指標,0.0
Communication Services,Advertising,BB,BB 突破上軌 (超買),bearish,True,10,7,0.024695631776169326,0.7,✅ 複合,0.25555555555555554
Communication Services,Advertising,BB,BB 跌破下軌 (超賣),bullish,False,45,14,-0.013524027309546773,0.3111111111111111,⚪ 純指標,0.0
Communication Services,Advertising,EMA,價格突破 EMA20,bullish,False,22,7,-0.0005344913132538632,0.3181818181818182,⚪ 純指標,0.0
Communication Services,Advertising,EMA,價格跌破 EMA20,bearish,False,20,9,0.01806834483187916,0.45,⚪ 純指標,0.0
Communication Services,Advertising,KDJ,KDJ 超賣區金叉,bullish,False,31,10,-0.0018661606644520946,0.3225806451612903,⚪ 純指標,0.0
Communication Services,Advertising,MACD,MACD 死叉 (空頭區),bearish,False,15,3,-0.008320951890416041,0.2,⚪ 純指標,0.0
Communication Services,Advertising,MACD,MACD 突破 0 軸,bullish,False,13,3,0.014087144054564727,0.23076923076923078,⚪ 純指標,0.0
Communication Services,Advertising,MACD,MACD 跌破 0 軸,bearish,False,11,3,-0.009466214214880047,0.2727272727272727,⚪ 純指標,0.0
Communication Services,Advertising,MACD,MACD 金叉 (空頭區),bullish,False,19,4,-0.016504918638079433,0.21052631578947367,⚪ 純指標,0.0
Communication Services,Advertising,RSI,RSI 維持超賣,bullish,False,65,25,-0.012190973453772227,0.38461538461538464,⚪ 純指標,0.0
Communication Services,Advertising,RSI,RSI 維持超賣,bullish,True,10,3,0.013959644325495072,0.3,✅ 複合,-0.08461538461538465
Communication Services,Advertising,RSI,RSI 超賣區域 (30),bullish,False,15,4,-0.02281956337971257,0.26666666666666666,⚪ 純指標,0.0
Communication Services,Broadcasting,BB,BB 突破上軌 (超買),bearish,False,77,9,-0.02962951658020602,0.11688311688311688,⚪ 純指標,0.0
Communication Services,Broadcasting,BB,BB 突破上軌 (超買),bearish,True,10,1,0.005199154770892864,0.1,✅ 複合,-0.34444444444444444
Communication Services,Broadcasting,BB,BB 跌破下軌 (超賣),bullish,False,48,16,-0.00908862492409399,0.3333333333333333,⚪ 純指標,0.0
Communication Services,Broadcasting,BB,BB 跌破下軌 (超賣),bullish,True,8,5,0.03503191729983698,0.625,✅ 複合,0.3138888888888889
Communication Services,Broadcasting,EMA,價格突破 EMA20,bullish,False,17,6,0.008154305286185258,0.35294117647058826,⚪ 純指標,0.0
Communication Services,Broadcasting,EMA,價格跌破 EMA20,bearish,False,17,6,0.013607010422396823,0.35294117647058826,⚪ 純指標,0.0
Communication Services,Broadcasting,MACD,MACD 突破 0 軸,bullish,False,15,7,0.03713586798623838,0.4666666666666667,⚪ 純指標,0.0
Communication Services,Broadcasting,MACD,MACD 跌破 0 軸,bearish,False,15,3,-0.002161000883978109,0.2,⚪ 純指標,0.0
Communication Services,Broadcasting,MACD,MACD 金叉 (空頭區),bullish,False,12,7,0.06705254630464165,0.5833333333333334,⚪ 純指標,0.0
Communication Services,Broadcasting,RSI,RSI 維持超買,bearish,False,70,13,-0.01256477088728323,0.18571428571428572,⚪ 純指標,0.0
Communication Services,Broadcasting,RSI,RSI 維持超買,bearish,True,28,5,-0.003461112576735361,0.17857142857142858,✅ 複合,-0.007142857142857145
Communication Services,Broadcasting,RSI,RSI 維持超賣,bullish,False,24,5,-0.0244234215753082,0.20833333333333334,⚪ 純指標,0.0
Communication Services,Broadcasting,RSI,RSI 超買區域 (70),bearish,False,25,10,-0.017794785063108946,0.4,⚪ 純指標,0.0
Communication Services,Cable & Satellite,BB,BB 突破上軌 (超買),bearish,False,34,16,0.041254526134775704,0.47058823529411764,⚪ 純指標,0.0
Communication Services,Cable & Satellite,BB,BB 突破上軌 (超買),bearish,True,8,6,0.02987459414160211,0.75,✅ 複合,0.3055555555555556
Communication Services,Cable & Satellite,BB,BB 跌破下軌 (超賣),bullish,False,38,9,-0.01658060549926528,0.23684210526315788,⚪ 純指標,0.0
Communication Services,Cable & Satellite,EMA,價格突破 EMA20,bullish,False,19,8,0.024996564908252895,0.42105263157894735,⚪ 純指標,0.0
Communication Services,Cable & Satellite,EMA,價格跌破 EMA20,bearish,False,12,4,-0.0009185911176193209,0.3333333333333333,⚪ 純指標,0.0
Communication Services,Cable & Satellite,EMA,價格跌破 EMA20,bearish,True,8,1,-0.03040072997708953,0.125,✅ 複合,-0.325
Communication Services,Cable & Satellite,KDJ,KDJ 超賣區金叉,bullish,False,22,8,-0.0010179547341771127,0.36363636363636365,⚪ 純指標,0.0
Communication Services,Cable & Satellite,MACD,MACD 突破 0 軸,bullish,False,16,6,-0.0035422095320952396,0.375,⚪ 純指標,0.0
Communication Services,Cable & Satellite,MACD,MACD 跌破 0 軸,bearish,False,14,4,-0.017339458980239798,0.2857142857142857,⚪ 純指標,0.0
Communication Services,Cable & Satellite,MACD,MACD 金叉 (空頭區),bullish,False,15,8,0.02188625936986727,0.5333333333333333,⚪ 純指標,0.0
Communication Services,Cable & Satellite,RSI,RSI 維持超賣,bullish,False,36,9,-0.012925699905624968,0.25,⚪ 純指標,0.0
Communication Services,Cable & Satellite,RSI,RSI 維持超賣,bullish,True,8,2,-0.025288165490926724,0.25,✅ 複合,-0.13461538461538464
Communication Services,Cable & Satellite,RSI,RSI 超賣區域 (30),bullish,False,16,3,-0.01543665745559023,0.1875,⚪ 純指標,0.0
Communication Services,Integrated Telecommunication Services,BB,BB 突破上軌 (超買),bearish,False,30,5,-0.00912972971382465,0.16666666666666666,⚪ 純指標,0.0
Communication Services,Integrated Telecommunication Services,BB,BB 跌破下軌 (超賣),bullish,False,37,4,-0.00530990366184919,0.10810810810810811,⚪ 純指標,0.0
Communication Services,Integrated Telecommunication Services,EMA,價格突破 EMA20,bullish,False,24,6,0.013102502287052458,0.25,⚪ 純指標,0.0
Communication Services,Integrated Telecommunication Services,EMA,價格跌破 EMA20,bearish,False,22,6,-0.005018406737321414,0.2727272727272727,⚪ 純指標,0.0
Communication Services,Integrated Telecommunication Services,KDJ,KDJ 超賣區金叉,bullish,False,46,8,-0.0025768036100981785,0.17391304347826086,⚪ 純指標,0.0
Communication Services,Integrated Telecommunication Services,MACD,MACD 死叉 (空頭區),bearish,False,8,1,-0.01441214217893009,0.125,⚪ 純指標,0.0
Communication Services,Integrated Telecommunication Services,MACD,MACD 突破 0 軸,bullish,False,11,2,0.0011753874192489354,0.18181818181818182,⚪ 純指標,0.0
Communication Services,Integrated Telecommunication Services,MACD,MACD 跌破 0 軸,bearish,False,11,3,0.0005412467819405921,0.2727272727272727,⚪ 純指標,0.0
Communication Services,Integrated Telecommunication Services,MACD,MACD 金叉 (空頭區),bullish,False,18,6,0.019701693197692,0.3333333333333333,⚪ 純指標,0.0
Communication Services,Integrated Telecommunication Services,RSI,RSI 維持超買,bearish,False,55,3,-0.015642472217247582,0.05454545454545454,⚪ 純指標,0.0
Communication Services,Integrated Telecommunication Services,RSI,RSI 維持超賣,bullish,False,18,6,0.013174268506709715,0.3333333333333333,⚪ 純指標,0.0
Communication Services,Integrated Telecommunication Services,RSI,RSI 超買區域 (70),bearish,False,11,3,-0.00011717901875429713,0.2727272727272727,⚪ 純指標,0.0
Communication Services,Interactive Home Entertainment,BB,BB 突破上軌 (超買),bearish,False,37,5,-0.008795661905369722,0.13513513513513514,⚪ 純指標,0.0
Communication Services,Interactive Home Entertainment,BB,BB 跌破下軌 (超賣),bullish,False,18,5,-0.005194021711006042,0.2777777777777778,⚪ 純指標,0.0
Communication Services,Interactive Home Entertainment,BB,BB 跌破下軌 (超賣),bullish,True,12,6,0.02324338649727935,0.5,✅ 複合,0.18888888888888888
Communication Services,Interactive Home Entertainment,EMA,價格突破 EMA20,bullish,False,15,6,0.012772426201888409,0.4,⚪ 純指標,0.0
Communication Services,Interactive Home Entertainment,EMA,價格跌破 EMA20,bearish,False,13,3,0.001347711728739095,0.23076923076923078,⚪ 純指標,0.0
Communication Services,Interactive Home Entertainment,MACD,MACD 突破 0 軸,bullish,False,11,3,-0.0012034960160625372,0.2727272727272727,⚪ 純指標,0.0
Communication Services,Interactive Home Entertainment,MACD,MACD 跌破 0 軸,bearish,False,10,1,-0.029191886696098224,0.1,⚪ 純指標,0.0
Communication Services,Interactive Home Entertainment,MACD,MACD 金叉 (空頭區),bullish,False,9,2,-0.008056449211771222,0.2222222222222222,⚪ 純指標,0.0
Communication Services,Interactive Home Entertainment,RSI,RSI 維持超買,bearish,False,28,3,0.0029294837151377213,0.10714285714285714,⚪ 純指標,0.0
Communication Services,Interactive Home Entertainment,RSI,RSI 維持超買,bearish,True,12,2,0.0064251199053809846,0.16666666666666666,✅ 複合,-0.019047619047619063
Communication Services,Interactive Home Entertainment,RSI,RSI 維持超賣,bullish,False,13,5,-0.003633203278681232,0.38461538461538464,⚪ 純指標,0.0
Communication Services,Interactive Home Entertainment,RSI,RSI 維持超賣,bullish,True,10,4,0.007246962417325359,0.4,✅ 複合,0.015384615384615385
Communication Services,Interactive Home Entertainment,RSI,RSI 超買區域 (70),bearish,False,10,3,0.007781752750662863,0.3,⚪ 純指標,0.0
Communication Services,Interactive Media & Services,BB,BB 突破上軌 (超買),bearish,False,64,15,-0.006345239770989171,0.234375,⚪ 純指標,0.0
Communication Services,Interactive Media & Services,BB,BB 跌破下軌 (超賣),bullish,False,46,17,0.011073582579079855,0.3695652173913043,⚪ 純指標,0.0
