sector,count,successes,win_rate
Information Technology,8815,3300,37.436188315371524
Health Care,7392,2571,34.78084415584416
Consumer Discretionary,5632,1946,34.55255681818182
Materials,2839,949,33.427263120817194
Consumer Staples,2956,913,30.886332882273344
Communication Services,2755,841,30.526315789473685
Energy,2035,613,30.122850122850124
Industrials,9384,2808,29.923273657289002
Financials,8084,2340,28.946066303809996
Real Estate,2327,602,25.87021916630855
Utilities,2383,567,23.79353755770038
