sector,subsector,count,successes,win_rate
Health Care,Bear Flag,40,29,72.5
Information Technology,Bull Flag,72,50,69.44444444444444
Information Technology,Support,110,72,65.45454545454545
Industrials,Bear Flag,30,19,63.33333333333333
Real Estate,Morning Star,81,51,62.96296296296296
Energy,Morning Star,69,42,60.86956521739131
Industrials,Bull Flag,20,12,60.0
Utilities,Evening Star,35,21,60.0
Materials,Resistance,44,26,59.09090909090909
Information Technology,Morning Star,612,338,55.22875816993464
Health Care,Resistance,95,52,54.736842105263165
Consumer Staples,Resistance,56,30,53.57142857142857
Energy,Bullish Engulfing,32,17,53.125
Consumer Staples,Morning Star,138,73,52.89855072463768
Industrials,Support,130,67,51.53846153846153
Consumer Discretionary,Resistance,74,38,51.35135135135135
Consumer Staples,Bullish Engulfing,96,49,51.041666666666664
Financials,Morning Star,345,175,50.72463768115942
Financials,Evening Star,282,141,50.0
Utilities,Bullish Engulfing,66,33,50.0
Materials,Support,46,23,50.0
Information Technology,Evening Star,726,361,49.72451790633609
Health Care,Evening Star,480,236,49.166666666666664
Energy,Bullish Harami,196,96,48.97959183673469
Financials,Support,125,61,48.8
Information Technology,Resistance,111,54,48.64864864864865
Utilities,Resistance,56,27,48.214285714285715
Materials,Morning Star,148,71,47.97297297297297
Health Care,Morning Star,537,255,47.486033519553075
Real Estate,Resistance,55,26,47.27272727272727
Communication Services,Resistance,41,19,46.34146341463415
Industrials,Morning Star,550,252,45.81818181818182
Consumer Staples,Support,59,27,45.76271186440678
Utilities,Bullish Harami,204,93,45.588235294117645
Consumer Discretionary,Morning Star,392,175,44.642857142857146
Health Care,Bullish Engulfing,522,233,44.6360153256705
Consumer Discretionary,Evening Star,303,134,44.224422442244226
Industrials,Resistance,125,55,44.0
Energy,Resistance,32,14,43.75
Real Estate,Evening Star,71,31,43.66197183098591
Industrials,Bullish Engulfing,456,199,43.640350877192986
Information Technology,Bullish Engulfing,562,245,43.594306049822066
Consumer Discretionary,Support,88,38,43.18181818181818
Consumer Discretionary,Bear Flag,26,11,42.30769230769231
Materials,Bullish Harami,284,120,42.25352112676056
Financials,Resistance,121,51,42.14876033057851
Consumer Staples,Bullish Harami,295,124,42.03389830508474
Consumer Discretionary,Bullish Engulfing,303,126,41.584158415841586
Communication Services,Support,41,17,41.46341463414634
Utilities,Support,58,24,41.37931034482759
Materials,Bullish Engulfing,83,34,40.963855421686745
Communication Services,Morning Star,189,76,40.21164021164021
Information Technology,Bullish Harami,1000,402,40.2
Real Estate,Support,55,22,40.0
Information Technology,Hammer,151,60,39.735099337748345
Communication Services,Bullish Engulfing,168,66,39.285714285714285
Health Care,Support,102,40,39.21568627450981
Health Care,Bearish Engulfing,881,339,38.47900113507378
Energy,Evening Star,48,18,37.5
Real Estate,Bullish Harami,222,83,37.38738738738739
Financials,Bullish Engulfing,324,120,37.03703703703704
Industrials,Bullish Harami,1024,378,36.9140625
Information Technology,Bearish Engulfing,1031,377,36.56644034917556
Industrials,Evening Star,460,165,35.869565217391305
Financials,Bullish Harami,880,315,35.79545454545455
Health Care,Bullish Harami,814,287,35.25798525798526
Communication Services,Bearish Engulfing,332,117,35.24096385542169
Consumer Discretionary,Bearish Engulfing,703,246,34.992887624466576
Utilities,Morning Star,92,32,34.78260869565217
Real Estate,Bearish Engulfing,244,84,34.42622950819672
Materials,Bearish Engulfing,370,127,34.32432432432432
Real Estate,Bullish Engulfing,38,13,34.21052631578947
Consumer Discretionary,Bullish Harami,667,225,33.733133433283356
Consumer Discretionary,Doji,1300,436,33.53846153846154
Consumer Staples,Shooting Star,373,123,32.975871313672926
Communication Services,Evening Star,198,65,32.82828282828283
Materials,Evening Star,98,32,32.6530612244898
Consumer Discretionary,Hammer,95,31,32.631578947368425
Consumer Discretionary,Shooting Star,555,179,32.25225225225225
Utilities,Bearish Engulfing,194,62,31.958762886597935
Financials,Bearish Engulfing,962,306,31.80873180873181
Communication Services,Bullish Harami,348,110,31.60919540229885
Information Technology,Doji,2291,715,31.2090790048014
Financials,Hammer,55,17,30.909090909090907
Consumer Staples,Bearish Engulfing,344,106,30.813953488372093
Energy,Bearish Engulfing,268,82,30.597014925373134
Materials,Shooting Star,384,115,29.947916666666668
Health Care,Hammer,107,32,29.906542056074763
Industrials,Hammer,87,26,29.88505747126437
Consumer Staples,Evening Star,144,43,29.86111111111111
Health Care,Doji,1752,523,29.85159817351598
Materials,Bearish Harami,770,229,29.740259740259738
Information Technology,Bearish Harami,1440,426,29.583333333333332
Health Care,Shooting Star,660,195,29.545454545454547
Communication Services,Hammer,34,10,29.411764705882355
Energy,Shooting Star,324,95,29.32098765432099
Industrials,Bearish Engulfing,1299,377,29.022324865280986
Industrials,Doji,2071,582,28.102366006760022
Materials,Doji,577,161,27.902946273830153
Information Technology,Shooting Star,679,188,27.68777614138439
Energy,Support,29,8,27.586206896551722
Consumer Discretionary,Bearish Harami,1098,292,26.59380692167577
Communication Services,Doji,645,170,26.356589147286826
Financials,Doji,1658,435,26.23642943305187
Communication Services,Bearish Harami,506,126,24.90118577075099
Financials,Shooting Star,1090,267,24.4954128440367
Energy,Bearish Harami,631,154,24.405705229793977
Health Care,Bearish Harami,1370,334,24.379562043795623
