symbol,sector,subsector,indicator,signal,pattern,pattern_conf,confidence,win_rate,win_rate_stock,win_rate_sector,stock_n,sector_n,avg_return,price,tp1_price,tp2_price,sl_price,date,tier,volume_confirmed
GE,Industrials,Aerospace & Defense,RSI,RSI 維持強勢 (50-70),Morning Star,0.8,1.0,0.7857,0.7857,0.4725,14,436,0.0466,360.35,377.14,393.93,356.75,2026-07-15,1,False
CRWD,Information Technology,Software - Infrastructure,BB,BB 中軌向上（上升趨勢）,Morning Star,0.8,1.0,0.7692,0.7692,0.4841,13,471,0.0761,187.91,202.21,216.51,186.03,2026-07-13,1,False
GS,Financials,Capital Markets,RSI,RSI 維持強勢 (50-70),Consolidation Breakout,0.73,1.0,0.7,0.7,0.2725,20,1479,0.0309,1152.0699,1187.67,1223.27,1140.55,2026-07-15,1,False
QXO,Industrials,Industrial Distribution,BB,BB 跌破下軌 (超賣),Morning Star,0.8,1.0,0.6071,,0.6071,0,56,0.0266,13.89,14.26,14.63,13.75,2026-07-13,1,False
TDG,Industrials,Aerospace & Defense,BB,BB 跌破下軌 (超賣),Bullish Engulfing,0.75,1.0,0.5682,,0.5682,0,44,0.0295,1215.34,1251.19,1287.05,1203.19,2026-07-14,1,False
CLX,Consumer Staples,Household & Personal Products,RSI,RSI 上穿 50 中性線,Morning Star,0.8,0.9900000000000001,0.5625,,0.5625,0,32,0.0236,96.95,99.24,101.53,95.98,2026-07-15,1,False
MICC,Consumer Staples,Packaged Foods,BB,BB 中軌向上（上升趨勢）,Morning Star,0.8,1.0,0.5505,,0.5505,0,109,0.0238,18.68,19.12,19.57,18.49,2026-07-15,1,False
GOOGL,Communication Services,Internet Content & Information,BB,價格在 BB 中軌上方,Bullish Engulfing,0.75,0.9075,0.6,0.6,0.3559,10,118,0.0289,359.51,369.9,380.29,355.91,2026-07-14,2,False
WFC,Financials,Banks - Diversified,BB,BB 中軌向上（上升趨勢）,None,0.0,0.51,0.5,0.5,0.3103,6,754,0.0066,85.29,85.85,86.42,84.44,2026-07-14,2,True
BEPC,Utilities,Utilities - Renewable,BB,BB 跌破下軌 (超賣),Support,0.8,1.0,1.0,,1.0,0,5,0.0506,34.18,35.91,37.64,33.84,2026-07-13,3,False
LITE,Information Technology,Communication Equipment,MACD,MACD 金叉 (空頭區),None,0.0,0.42,1.0,1.0,0.3767,5,754,0.0628,814.8,865.97,917.14,806.65,2026-07-14,3,False
CCJ,Energy,Uranium,BB,BB 跌破下軌 (超賣),Support,0.7,1.0,0.8889,,,0,0,0.0795,90.2,97.37,104.54,89.3,2026-07-13,3,True
HBANM,Financials,Banks - Regional,KDJ,KDJ 金叉,Support,0.7,1.0,0.8,,,0,0,0.0149,20.69,21.0,21.31,20.48,2026-07-13,3,False
NXT,Information Technology,Solar,BB,BB 跌破下軌 (超賣),Support,0.9,1.0,0.8,,0.8,0,5,0.0521,99.67,104.86,110.06,98.67,2026-07-13,3,False
JPM,Financials,Banks - Diversified,MACD,MACD 金叉 (多頭區),None,0.0,0.68,0.8,0.8,0.2747,5,517,0.0127,346.91,351.32,355.72,343.44,2026-07-15,3,False
KKR,Financials,Asset Management,MACD,MACD 突破 0 軸,None,0.0,0.595,0.7143,0.7143,0.3301,7,618,0.0527,96.91,102.02,107.12,95.94,2026-07-13,3,False
CVNA,Consumer Discretionary,Auto & Truck Dealerships,MACD,MACD 突破 0 軸,None,0.0,0.595,0.6667,0.6667,0.3351,9,376,0.1083,70.59,78.23,85.88,69.88,2026-07-15,3,False
Q,Information Technology,Semiconductor Equipment & Materials,KDJ,KDJ 金叉,None,0.0,0.5525,0.6667,0.6667,0.3918,12,1955,0.0383,140.23,145.6,150.97,138.83,2026-07-15,3,False
TT,Industrials,Building Products & Equipment,KDJ,KDJ 金叉,None,0.0,0.5525,0.6667,0.6667,0.3223,15,2110,0.0317,479.9,495.11,510.33,475.1,2026-07-13,3,False
MU,Information Technology,Semiconductors,KDJ,KDJ 金叉,None,0.0,0.5525,0.6552,0.6552,0.3918,29,1955,0.0307,983.12,1013.3,1043.48,973.29,2026-07-14,3,False
GOOG,Communication Services,Internet Content & Information,RSI,RSI 上穿 50 中性線,None,0.0,0.4675,0.6429,0.6429,0.3243,14,518,0.0133,370.21,375.13,380.06,366.51,2026-07-15,3,False
SNDK,Information Technology,Computer Hardware,BB,BB 中軌向上（上升趨勢）,None,0.0,0.51,0.6359,0.6359,0.3639,195,16781,0.0788,1673.97,1805.88,1937.79,1657.23,2026-07-13,3,False
AMZN,Consumer Discretionary,Internet Retail,MACD,MACD 突破 0 軸,None,0.0,0.595,0.625,0.625,0.3351,8,376,0.0424,254.96,265.77,276.58,252.41,2026-07-15,3,False
C,Financials,Banks - Diversified,BB,BB 跌破下軌 (超賣),None,0.0,0.45499999999999996,0.6,0.6,0.4057,5,424,0.0247,133.27,136.56,139.85,131.94,2026-07-14,3,True
NUE,Materials,Steel,MACD,MACD 金叉 (空頭區),None,0.0,0.42,0.6,0.6,0.3816,10,304,0.0304,236.87,244.07,251.27,234.5,2026-07-15,3,False
PNC,Financials,Banks - Regional,KDJ,KDJ 金叉,None,0.0,0.5525,0.5882,0.5882,0.3142,17,1932,0.0121,254.15,257.23,260.3,251.61,2026-07-15,3,False
