symbol,sector,subsector,indicator,signal,pattern,pattern_conf,confidence,win_rate,win_rate_stock,win_rate_sector,stock_n,sector_n,avg_return,price,tp1_price,tp2_price,sl_price,date,tier,volume_confirmed
2111.HK,Commerce & Industry,Commerce & Industry,BB,BB 跌破下軌 (超賣),Support,0.7,1.0,0.6667,,0.6667,0,6,0.0473,2.285,2.39,2.5,2.26,2026-08-12,1,True
0322.HK,Commerce & Industry,Commerce & Industry,MACD,MACD 金叉 (多頭區),None,0.0,0.68,0.9,,0.9,0,10,0.0418,12.29,12.8,13.32,12.17,2026-08-12,2,True
0066.HK,Commerce & Industry,Commerce & Industry,BB,價格在 BB 中軌上方,None,0.0,0.425,0.7143,0.7143,0.4653,7,331,0.0237,33.24,34.03,34.82,32.91,2026-08-14,2,True
0992.HK,Commerce & Industry,Commerce & Industry,RSI,RSI 加速上升,None,0.0,0.5525,0.6429,0.6429,0.4454,14,238,0.0433,33.6,35.05,36.51,33.26,2026-08-14,2,True
1877.HK,Commerce & Industry,Commerce & Industry,BB,價格在 BB 中軌上方,None,0.0,0.425,0.4653,,0.4653,0,331,0.0092,20.22,20.41,20.59,20.02,2026-08-13,2,True
6618.HK,Commerce & Industry,Commerce & Industry,RSI,RSI 維持強勢 (50-70),None,0.0,0.51,0.4,0.4,0.4605,5,215,-0.0603,39.5,37.12,34.74,39.1,2026-08-14,2,True
3968.HK,Finance,Finance,RSI,RSI 維持強勢 (50-70),None,0.0,0.51,0.625,0.625,0.3169,24,1016,1.7104,48.38,131.13,213.88,47.9,2026-08-13,3,False
1093.HK,Commerce & Industry,Commerce & Industry,RSI,RSI 維持強勢 (50-70),None,0.0,0.51,0.5875,0.5875,0.3356,80,3424,0.0389,8.69,9.03,9.37,8.6,2026-08-14,3,False
0939.HK,Finance,Finance,BB,BB 中軌向上（上升趨勢）,Bullish Engulfing,0.75,1.0,0.5714,,0.5714,0,7,0.0331,8.825,9.12,9.41,8.74,2026-08-13,3,False
1288.HK,Finance,Finance,BB,BB 中軌向上（上升趨勢）,Bullish Engulfing,0.75,1.0,0.5714,,0.5714,0,7,0.0331,5.89,6.08,6.28,5.83,2026-08-13,3,False
