symbol,sector,subsector,indicator,signal,pattern,pattern_conf,confidence,win_rate,win_rate_stock,win_rate_sector,stock_n,sector_n,avg_return,price,tp1_price,tp2_price,sl_price,date,tier,volume_confirmed
NRG,Utilities,Independent Power Producers & Energy Traders,BB,BB 跌破下軌 (超賣),Support,0.9,1.0,1.0,,1.0,0,5,0.0506,120.65,126.75,132.86,119.44,2026-06-10,3,False
NVDA,Information Technology,Semiconductors,BB,BB 跌破下軌 (超賣),None,0.0,0.45499999999999996,0.8,0.8,0.3493,15,1480,0.0413,200.42,208.7,216.97,198.42,2026-06-10,3,False
MOS,Materials,Fertilizers & Agricultural Chemicals,RSI,RSI 超賣區域 (30),Support,0.7,1.0,0.75,,,0,0,0.0419,19.82,20.65,21.48,19.62,2026-06-10,3,True
WELL,Real Estate,Health Care REITs,MACD,MACD 金叉 (空頭區),None,0.0,0.42,0.7,0.7,0.2429,10,560,0.0279,210.67,216.55,222.43,208.56,2026-06-11,3,False
GPN,Financials,Transaction & Payment Processing Services,RSI,RSI 超賣區域 (30),None,0.0,0.5249999999999999,0.6667,0.6667,0.3693,6,371,0.024,62.47,63.97,65.47,61.85,2026-06-10,3,False
PWR,Industrials,Construction & Engineering,BB,BB 跌破下軌 (超賣),None,0.0,0.45499999999999996,0.6667,0.6667,0.2832,9,1776,0.0266,650.92,668.23,685.55,644.41,2026-06-10,3,False
CRH,Materials,Construction Materials,MACD,MACD 金叉 (空頭區),None,0.0,0.42,0.6667,0.6667,0.3657,12,443,0.018,104.83,106.72,108.6,103.78,2026-06-11,3,False
BSX,Health Care,Health Care Equipment,RSI,RSI 維持超賣,None,0.0,0.385,0.6364,0.6364,0.3045,11,1271,0.0165,46.91,47.68,48.46,46.44,2026-06-12,3,False
ROL,Industrials,Environmental & Facilities Services,MACD,MACD 金叉 (空頭區),None,0.0,0.42,0.5833,0.5833,0.3168,12,1212,0.0078,47.19,47.56,47.93,46.72,2026-06-12,3,False
EME,Industrials,Construction & Engineering,BB,BB 跌破下軌 (超賣),None,0.0,0.45499999999999996,0.5455,0.5455,0.2832,11,1776,0.0339,776.72,803.05,829.38,768.95,2026-06-10,3,False
ALB,Materials,Specialty Chemicals,RSI,RSI 超賣區域 (30),Support,0.7,1.0,0.5,,,0,0,0.02,147.22,150.16,153.11,145.75,2026-06-10,3,False
GILD,Health Care,Biotechnology,RSI,RSI 超賣區域 (30),Support,0.9,1.0,0.5,,,0,0,0.02,121.48,123.91,126.34,120.27,2026-06-10,3,False
PYPL,Financials,Transaction & Payment Processing Services,RSI,RSI 超賣區域 (30),Bullish Engulfing,0.75,1.0,0.5,,0.5,0,10,0.0302,40.7,41.93,43.16,40.29,2026-06-10,3,False
ABNB,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",BB,BB 跌破下軌 (超賣),Bullish Engulfing,0.75,1.0,0.4792,,0.4792,0,48,0.0146,129.1,130.98,132.87,127.81,2026-06-10,3,False
WBD,Communication Services,Broadcasting,BB,BB 跌破下軌 (超賣),None,0.0,0.45499999999999996,0.4706,0.4706,0.338,34,568,0.0231,26.23,26.84,27.44,25.97,2026-06-10,3,False
BALL,Materials,"Metal, Glass & Plastic Containers",MACD,MACD 金叉 (空頭區),None,0.0,0.42,0.4706,0.4706,0.3657,17,443,0.001,54.72,54.77,54.83,54.17,2026-06-10,3,False
HIG,Financials,Property & Casualty Insurance,MACD,MACD 金叉 (空頭區),None,0.0,0.42,0.4667,0.4667,0.3062,15,1153,0.0137,129.62,131.4,133.17,128.32,2026-06-12,3,False
EQT,Energy,Oil & Gas Exploration & Production,KDJ,KDJ 超賣區金叉,None,0.0,0.5599999999999999,0.4545,0.4545,0.3344,11,326,0.0219,51.94,53.08,54.21,51.42,2026-06-12,3,False
NEM,Materials,Gold,RSI,RSI 超賣區域 (30),None,0.0,0.5249999999999999,0.4545,0.4545,0.3724,11,196,0.0194,92.77,94.57,96.37,91.84,2026-06-10,3,False
FIS,Financials,Transaction & Payment Processing Services,BB,BB 跌破下軌 (超賣),None,0.0,0.45499999999999996,0.4333,0.4333,0.3101,30,1925,0.0194,38.35,39.09,39.84,37.97,2026-06-11,3,False
WMT,Consumer Staples,Consumer Staples Merchandise Retail,MACD,MACD 金叉 (空頭區),None,0.0,0.42,0.4286,0.4286,0.2262,7,619,0.0197,120.59,122.97,125.34,119.38,2026-06-10,3,False
