symbol,sector,subsector,indicator,signal,pattern,pattern_conf,confidence,win_rate,win_rate_stock,win_rate_sector,stock_n,sector_n,avg_return,price,tp1_price,tp2_price,sl_price,date,tier,volume_confirmed
0999.HK,Commerce & Industry,Commerce & Industry,BB,價格在 BB 中軌上方,Bullish Engulfing,0.75,1.0,0.5,,0.5,0,6,0.0045,8.035,8.07,8.11,7.95,2026-08-10,1,True
1788.HK,Finance,Finance,RSI,RSI 加速上升,None,0.0,0.5525,0.4889,,0.4889,0,45,0.019,2.865,2.92,2.97,2.84,2026-08-11,2,True
1787.HK,Commerce & Industry,Commerce & Industry,BB,價格在 BB 中軌上方,None,0.0,0.425,0.4653,,0.4653,0,331,0.0092,23.62,23.84,24.05,23.38,2026-08-10,2,True
2269.HK,Commerce & Industry,Commerce & Industry,BB,價格在 BB 中軌上方,None,0.0,0.425,0.4653,,0.4653,0,331,0.0092,46.12,46.54,46.97,45.66,2026-08-10,2,True
1044.HK,Commerce & Industry,Commerce & Industry,RSI,RSI 上穿 50 中性線,Bullish Engulfing,0.75,0.9735000000000001,0.75,,0.75,0,8,0.0373,24.14,25.04,25.94,23.9,2026-08-10,3,False
1999.HK,Commerce & Industry,Commerce & Industry,RSI,RSI 上穿 50 中性線,Bullish Engulfing,0.75,0.9735000000000001,0.75,,0.75,0,8,0.0373,3.205,3.32,3.44,3.17,2026-08-10,3,False
0288.HK,Commerce & Industry,Commerce & Industry,BB,BB 跌破下軌 (超賣),Support,0.8,1.0,0.6667,,0.6667,0,6,0.0473,7.965,8.34,8.72,7.89,2026-08-07,3,False
1093.HK,Commerce & Industry,Commerce & Industry,KDJ,KDJ 金叉,None,0.0,0.5525,0.6364,0.6364,0.3295,11,437,0.0314,8.69,8.96,9.24,8.6,2026-08-07,3,False
0857.HK,Commerce & Industry,Commerce & Industry,RSI,RSI 上穿 50 中性線,None,0.0,0.4675,0.6364,0.6364,0.3032,11,376,0.0229,9.735,9.96,10.18,9.64,2026-08-11,3,False
3968.HK,Finance,Finance,RSI,RSI 維持強勢 (50-70),None,0.0,0.51,0.625,0.625,0.3169,24,1016,1.7104,48.34,131.02,213.7,47.86,2026-08-11,3,False
1088.HK,Commerce & Industry,Commerce & Industry,KDJ,KDJ 金叉,None,0.0,0.5525,0.5455,0.5455,0.3295,11,437,0.0218,42.98,43.92,44.85,42.55,2026-08-07,3,False
1378.HK,Commerce & Industry,Commerce & Industry,KDJ,KDJ 金叉,None,0.0,0.5525,0.5294,0.5294,0.3295,17,437,0.0238,24.18,24.76,25.33,23.94,2026-08-07,3,False
0322.HK,Commerce & Industry,Commerce & Industry,BB,BB 中軌向上（上升趨勢）,Morning Star,0.8,1.0,0.5263,,0.5263,0,57,0.0201,11.71,11.95,12.18,11.59,2026-08-10,3,False
0883.HK,Commerce & Industry,Commerce & Industry,BB,BB 中軌向上（上升趨勢）,Morning Star,0.8,1.0,0.5263,,0.5263,0,57,0.0201,23.26,23.73,24.2,23.03,2026-08-07,3,False
2020.HK,Commerce & Industry,Commerce & Industry,BB,BB 中軌向上（上升趨勢）,Morning Star,0.8,1.0,0.5263,,0.5263,0,57,0.0201,75.45,76.97,78.48,74.7,2026-08-10,3,False
2238.HK,Commerce & Industry,Commerce & Industry,BB,BB 中軌向上（上升趨勢）,Morning Star,0.8,1.0,0.5263,,0.5263,0,57,0.0201,2.29,2.34,2.38,2.27,2026-08-10,3,False
0868.HK,Commerce & Industry,Commerce & Industry,BB,BB 中軌向上（上升趨勢）,Bullish Engulfing,0.75,1.0,0.5231,,0.5231,0,65,0.0271,9.455,9.71,9.97,9.36,2026-08-10,3,False
