sector,signal,tp,sl,win_rate,expected_return,tp_hit_rate,n_trades
Real Estate,RSI 維持超賣,0.15,0.01,0.7333851935787825,0.1073416309726052,0.3334629839469564,8
Materials,RSI 維持超賣,0.15,0.01,0.5837564798130671,0.08340103677009073,0.2961737840402067,16
Consumer Staples,RSI 維持超賣,0.15,0.01,0.5770889636268964,0.08233423418030342,0.30340301133405123,10
Financials,MACD 金叉 (空頭區),0.15,0.01,0.5435996008047039,0.07697593612875263,0.31199866934901294,8
Utilities,BB 跌破下軌 (超賣),0.15,0.01,0.5361891017946382,0.0757902562871421,0.2728833204500135,41
Financials,RSI 維持超賣,0.15,0.01,0.5313423706747633,0.07501477930796213,0.31139444548214756,75
Energy,RSI 維持超賣,0.15,0.01,0.5238055750381102,0.07380889200609762,0.24601858346036734,8
Commerce & Industry,RSI 超賣區域 (30),0.15,0.01,0.5066052230359732,0.07105683568575571,0.32940774985212556,13
Consumer Staples,BB 跌破下軌 (超賣),0.15,0.01,0.4995035595094025,0.0699205695215044,0.22622553653984684,47
Information Technology,BB 跌破下軌 (超賣),0.15,0.01,0.496092943637766,0.06937487098204256,0.30595238254099055,249
Energy,BB 跌破下軌 (超賣),0.15,0.01,0.4903536658947417,0.06845658654315867,0.2588772798398341,33
Unknown,RSI 超賣區域 (30),0.15,0.01,0.48032755233010516,0.06685240837281682,0.45133068134105203,13
Information Technology,RSI 超賣區域 (30),0.15,0.01,0.4704430738596862,0.06527089181754979,0.2951117292014341,29
Materials,BB 跌破下軌 (超賣),0.15,0.01,0.45193897562201973,0.06231023609952316,0.2653866235235145,25
Information Technology,RSI 維持超賣,0.15,0.01,0.43908297409409325,0.06025327585505492,0.2904354283448462,168
Financials,BB 跌破下軌 (超賣),0.15,0.01,0.43065920621334786,0.05890547299413566,0.2657027454747263,164
Unknown,BB 跌破下軌 (超賣),0.15,0.01,0.41809210255949647,0.056894736409519434,0.2918232966835561,60
Commerce & Industry,BB 跌破下軌 (超賣),0.15,0.01,0.41751804654031766,0.05680288744645083,0.2664225045936516,44
Properties,BB 跌破下軌 (超賣),0.15,0.01,0.41597195494739936,0.05655551279158389,0.2332164789474974,10
Information Technology,價格突破 EMA20,0.15,0.01,0.40481996232767914,0.05477119397242866,0.3027138947404464,57
Industrials,RSI 維持超賣,0.15,0.01,0.4014978353644737,0.05423965365831579,0.2565530297195723,77
Properties,KDJ 超賣區金叉,0.15,0.01,0.38668482919447,0.0518695726711152,0.2400817313751151,9
Information Technology,MACD 金叉 (空頭區),0.15,0.01,0.3694332208287234,0.049109315332595736,0.20507640382487735,24
Real Estate,KDJ 超賣區金叉,0.15,0.01,0.3678255743689186,0.04885209189902697,0.155215084660134,9
Information Technology,KDJ 超賣區金叉,0.15,0.01,0.36690814518378995,0.04870530322940639,0.19695017147502836,37
