combo,market,sample,best_ev_tp,best_ev_sl,best_ev_ev,best_ev_wr,best_ev_avg_win,best_ev_avg_loss,best_ev_kelly,best_wr_tp,best_wr_sl,best_wr_wr,best_wr_ev,no_tp_wr,no_tp_ev
BB BB 跌破下軌 (超賣) + Support,S&P 500,756,0.06,0.05,0.04224138701985028,0.8478835978835979,0.05773195291132314,-0.044101680253489726,0.7316812421837432,0.02,0.05,0.9841269841269841,0.018980981065321756,0.828042328042328,0.045152660635427826
RSI RSI 超賣區域 (30) + Support,S&P 500,252,0.06,0.05,0.043214610586226505,0.8611111111111112,0.05729125353954383,-0.044060575724340925,0.7542968239715461,0.02,0.04,0.996031746031746,0.01976190476190469,0.7738095238095238,0.0371715486758786
RSI RSI 超賣區域 (30) + Morning Star,S&P 500,153,0.05,0.05,0.022324493034384576,0.7843137254901961,0.0391093780095423,-0.03871145232982531,0.5708219913120998,0.02,0.05,0.9411764705882353,0.0166875978130765,0.7647058823529411,0.022569687288363664
KDJ KDJ 超賣區金叉 + Support,S&P 500,216,0.04,0.02,0.023309393473054635,0.7314814814814815,0.03889440352846216,-0.019146323574434826,0.5992994199280438,0.02,0.05,0.9444444444444444,0.016216172117283958,0.6620370370370371,0.017283938278362332
KDJ KDJ J 值極低 (<0) + Morning Star,S&P 500,1093,0.06,0.04,0.02235797704223671,0.7483989021043,0.03899429091821344,-0.027127494777941324,0.5733653956967776,0.02,0.05,0.9441903019213175,0.017159838356438605,0.7447392497712717,0.021346659418404197
BB BB 跌破下軌 (超賣) + Bullish Engulfing,S&P 500,913,0.04,0.05,0.02344734755021892,0.8138006571741512,0.03712939005303657,-0.03635122644739002,0.6315037095068389,0.02,0.05,0.9474260679079957,0.01692675145141055,0.7042716319824753,0.026711770568299258
MACD MACD 金叉 (空頭區) + Double Bottom,S&P 500,1436,0.04,0.05,0.013584188088169547,0.6838440111420613,0.034441760642386486,-0.031530649463022156,0.3944103853811665,0.02,0.05,0.8607242339832869,0.011996863795052434,0.5835654596100278,0.00978756627461125
EMA EMA 多頭排列 (20>50>200) + Bull Flag,S&P 500,520,0.15,0.05,0.03401456890896275,0.6826923076923077,0.06710237368996012,-0.03717434440772859,0.5069055986919881,0.02,0.05,0.875,0.012168099902627225,0.7692307692307693,0.044932075933460526
EMA EMA 多頭排列 (20>50>200) + Double Bottom,S&P 500,13868,0.03,0.05,0.012727045056544083,0.7417075281222959,0.027526677190783184,-0.02977128440542783,0.4623531190610069,0.02,0.05,0.8542688203057398,0.012110150498892757,0.6214306316700318,0.015061854790094446
RSI RSI 超賣區域 (30) + Double Bottom,S&P 500,777,0.06,0.05,0.03308513006006752,0.7953667953667953,0.04890841796716516,-0.028416705956198787,0.6764710746170391,0.02,0.05,0.9794079794079794,0.018922639213521903,0.6795366795366795,0.019309035866849043
BB BB 跌破下軌 (超賣) + Support,HSI,96,0.08,0.05,0.06257492863757103,0.8645833333333334,0.07757987347991165,-0.03322587304814222,0.8065871447157494,0.02,0.01,1.0,0.020000000000000014,0.7916666666666666,0.045934144675575946
RSI RSI 超賣區域 (30) + Support,HSI,33,0.1,0.02,0.07100323955725037,0.8181818181818182,0.09122618168108378,-0.02,0.7783208531676742,0.02,0.01,0.9696969696969697,0.0190909090909091,0.8484848484848485,0.06404293776744216
RSI RSI 超賣區域 (30) + Morning Star,HSI,15,0.1,0.04,0.047749389713750715,0.8,0.06373640285374522,-0.016198662846227348,0.7491698240849954,0.02,0.015,1.0,0.02,0.8,0.03942086974558352
KDJ KDJ 超賣區金叉 + Support,HSI,44,0.1,0.05,0.04875978923370089,0.7045454545454546,0.08346873459032202,-0.03400769584747259,0.5841683053303944,0.02,0.03,0.9772727272727273,0.018863636363636374,0.6818181818181818,0.01799545713201874
KDJ KDJ J 值極低 (<0) + Morning Star,HSI,126,0.06,0.05,0.03242574229258341,0.8253968253968254,0.04562628646594516,-0.029976830163308498,0.7106811622020902,0.02,0.05,0.9523809523809523,0.018106141140769017,0.746031746031746,0.028795717365722603
BB BB 跌破下軌 (超賣) + Double Bottom,HSI,372,0.06,0.05,0.03196506579904331,0.7956989247311828,0.04668535661148292,-0.02536659315466882,0.6846914775666736,0.02,0.05,0.9381720430107527,0.01733665158636724,0.6854838709677419,0.01915527341229884
MACD MACD 金叉 (空頭區) + Double Bottom,HSI,199,0.06,0.05,0.020969249656730866,0.6482412060301508,0.049849955324354225,-0.03225376507360361,0.42064731092118607,0.02,0.05,0.8341708542713567,0.010654036219089313,0.5979899497487438,0.011845997004014059
