market,indicator,signal,direction,pattern_name,count,win_rate,avg_return
HSI,BB,BB 突破上軌 (超買),bearish,Bearish Harami,188,0.3776595744680851,0.01429372877021645
HSI,BB,BB 突破上軌 (超買),bearish,Shooting Star,516,0.3449612403100775,0.007350724211311355
HSI,BB,BB 突破上軌 (超買),bearish,無形態,904,0.32964601769911506,0.006752491481226129
HSI,BB,BB 突破上軌 (超買),bearish,Bearish Engulfing,149,0.30201342281879195,-0.0036128824652112675
HSI,BB,BB 突破上軌 (超買),bearish,Resistance,96,0.1875,-0.024698336530249915
HSI,BB,BB 突破上軌 (超買),bearish,Double Top,89,0.16853932584269662,-0.013698566893459739
HSI,BB,BB 突破上軌 (超買),bearish,Head & Shoulders,106,0.1509433962264151,-0.01584313343948372
HSI,BB,BB 突破上軌 (超買),bearish,Evening Star,72,0.1388888888888889,-0.02112499103331804
HSI,BB,BB 跌破下軌 (超賣),bullish,Support,97,0.6804123711340206,0.044696946544136265
HSI,BB,BB 跌破下軌 (超賣),bullish,Double Bottom,140,0.5214285714285715,0.021317226747482498
HSI,BB,BB 跌破下軌 (超賣),bullish,Bullish Engulfing,39,0.5128205128205128,0.028968437087835842
HSI,BB,BB 跌破下軌 (超賣),bullish,Inverse H&S,188,0.3776595744680851,0.01697906978758828
HSI,BB,BB 跌破下軌 (超賣),bullish,Morning Star,49,0.3673469387755102,0.013701068824785492
HSI,BB,BB 跌破下軌 (超賣),bullish,Bullish Harami,56,0.35714285714285715,-0.0012708801286248112
HSI,BB,BB 跌破下軌 (超賣),bullish,Hammer,77,0.33766233766233766,0.011627827870014365
HSI,BB,BB 跌破下軌 (超賣),bullish,無形態,374,0.3048128342245989,0.005697287845441147
HSI,EMA,EMA 空頭排列 (20<50<200),bearish,Bearish Harami,128,0.4140625,0.010269940641104133
HSI,EMA,EMA 空頭排列 (20<50<200),bearish,Evening Star,122,0.32786885245901637,-0.001997159467790437
HSI,EMA,EMA 空頭排列 (20<50<200),bearish,Shooting Star,147,0.32653061224489793,0.006579587917142616
HSI,EMA,EMA 空頭排列 (20<50<200),bearish,Resistance,92,0.31521739130434784,0.01994362629472808
